beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
0,1,2025-02-19,799-1258 sqft,44,0,2317000.0,55,1028.5,0
2,1,2025-02-19,1085 sqft,6,2,12500000.0,202,1085.0,4
3,1,2025-02-19,1525-2150 sqft,18,0,23200000.0,215,1837.5,3
2,1,2025-02-19,658-1003 sqft,9,0,889000.0,180,830.5,2
2,1,2025-02-19,1179-1449 sqft,9,0,6483000.0,57,1314.0,2
2,1,2025-02-19,1199-2484 sqft,12,0,15000000.0,151,1841.5,2
2,1,2025-02-19,794-1923 sqft,9,0,7518000.0,217,1358.5,2
4,1,2025-02-19,0 sqft,28,0,39800000.0,47,0.0,4
2,1,2025-02-19,1006-1636 sqft,9,0,11100000.0,215,1321.0,2
2,1,2025-02-19,1335-2700 sqft,12,0,15700000.0,10,2017.5,2
4,8,2025-02-19,6050 sqft,24,4,200000000.0,165,6050.0,8
4,8,2025-02-19,4200 sqft,24,4,40100000.0,155,4200.0,8
0,8,2025-02-19T04:38:38.179Z,9000 sqft,44,0,249500000.0,143,9000.0,0
3,8,2025-02-19T04:38:38.179Z,"967.58 - 1,751.41 sqft",15,0,52800000.0,164,,3
4,8,2025-02-19T04:38:38.179Z,1942 sqft,23,5,69000000.0,164,1942.0,9
4,8,2025-02-19T04:38:38.179Z,2562 sqft,24,4,41600000.0,205,2562.0,8
3,8,2025-02-19T04:38:38.179Z,1805 sqft,16,3,30500000.0,164,1805.0,6
4,8,2025-02-19T04:38:38.179Z,4500 sqft,25,5,45000000.0,181,4500.0,9
4,8,2025-02-19T04:38:38.179Z,3150 sqft,25,4,44900000.0,143,3150.0,8
4,8,2025-02-19T04:38:38.179Z,3240 sqft,25,4,34000000.0,181,3240.0,8
3,12,1mo ago,2600 sqft,40,5,16500000.0,7,2600.0,8
3,12,1mo ago,1800 sqft,40,2,11600000.0,76,1800.0,5
4,12,2mo ago,165 sqft,40,6,10000000.0,209,165.0,10
5,12,4d ago,2304 sqft,40,5,20000000.0,153,2304.0,10
4,12,6d ago,230 sqft,40,5,20000000.0,153,230.0,9
5,12,1w ago,3150 sqft,40,5,25000000.0,139,3150.0,10
3,12,2025-01-19,2600 sqft,47,5,16500000.0,7,2600.0,8
3,12,2025-01-19,1800 sqft,47,2,11600000.0,76,1800.0,5
2,12,2025-01-19,350 sqft,47,1,5500000.0,81,350.0,3
3,12,2025-01-19,1368 sqft,47,3,6900000.0,144,1368.0,6
4,12,2025-01-19,165 sqft,47,6,10000000.0,209,165.0,10
5,12,2025-01-19,2304 sqft,47,4,20000000.0,153,2304.0,9
3,12,2025-01-19,1450 sqft,47,2,5800000.0,141,1450.0,5
4,12,2025-01-19,230 sqft,47,5,20000000.0,153,230.0,9
5,12,2025-01-19,3150 sqft,47,5,25000000.0,139,3150.0,10
4,12,2025-01-19,1422 sqft,47,2,8000000.0,139,1422.0,6
0,24,2025-02-19T04:38:36.102Z,1503 sqft,44,0,4676000.0,194,1503.0,0
0,24,2025-02-19T04:38:36.102Z,1260 sqft,44,0,3780000.0,11,1260.0,0
2,24,2025-02-19T04:38:36.102Z,990 - 1245 sqft,5,2,4940000.0,82,1117.5,4
3,24,2025-02-19T04:38:36.102Z,1630 - 2190 sqft,15,3,9454000.0,82,1910.0,6
2,24,2025-02-19T04:38:36.102Z,823 - 1117 sqft,9,2,7501000.0,35,970.0,4
3,24,2025-02-19T04:38:36.102Z,2195 - 2650 sqft,15,3,18700000.0,174,2422.5,6
2,24,2025-02-19T04:38:36.102Z,895 - 1050 sqft,5,2,3133000.0,35,972.5,4
2,24,2025-02-19T04:38:36.102Z,1158 - 1474 sqft,9,2,6947000.0,218,1316.0,4
3,24,2025-02-19T04:38:36.102Z,3503 - 6226 sqft,22,3,29800000.0,11,4864.5,6
0,14,3mo ago,3049 sqft,44,0,12000000.0,212,3049.0,0
0,14,1mo ago,10454 sqft,44,0,39600000.0,212,10454.0,0
3,14,1w ago,1388 sqft,16,2,7500000.0,109,1388.0,5
3,14,4w ago,1375 sqft,17,3,7000000.0,212,1375.0,6
3,14,1mo ago,1350 sqft,16,3,5000000.0,223,1350.0,6
0,14,3mo ago,940 sqft,44,0,1500000.0,20,940.0,0
3,14,3mo ago,1375 sqft,17,3,7000000.0,20,1375.0,6
2,14,2w ago,1000 sqft,6,2,8000000.0,220,1000.0,4
3,14,2mo ago,1000 sqft,17,3,7500000.0,19,1000.0,6
0,14,2mo ago,35790 sqft,44,0,35000000.0,19,35790.0,0
9,18,1mo ago,3229 sqft,38,9,55000000.0,160,3229.0,18
0,18,Yesterday,4843 sqft,42,0,90000000.0,157,4843.0,0
0,2,2025-02-19,1200-2000 sqft,44,0,1559000.0,131,1600.0,0
3,2,2025-02-19,2179 sqft,16,3,18000000.0,124,2179.0,6
2,2,2025-02-19,758.34 - 945.73 sqft,9,0,7900000.0,46,,2
2,2,2025-02-19,1185 - 1610 sqft,9,0,8938000.0,52,1397.5,2
2,2,2025-02-19,1691 - 2543 sqft,9,0,8286000.0,43,2117.0,2
3,2,2025-02-19,1527 - 2078 sqft,18,0,20600000.0,66,1802.5,3
3,2,2025-02-19,2160 - 3190 sqft,18,0,14700000.0,54,2675.0,3
2,2,2025-02-19,923 - 3097 sqft,14,0,11800000.0,118,2010.0,2
2,2,2025-02-19,1877 - 3038 sqft,14,0,14000000.0,125,2457.5,2
2,2,2025-02-19,704.71 - 1009.23 sqft,9,0,7200000.0,124,,2
5,6,2025-02-19,8478-10573 sqft,29,0,0.0,70,9525.5,5
2,6,2025-02-19,1530 sqft,6,2,6500000.0,150,1530.0,4
3,6,2025-02-19,2511-2655 sqft,15,0,11200000.0,142,2583.0,3
3,6,2025-02-19,1225.7-2611 sqft,18,0,25400000.0,40,,3
3,6,2025-02-19,2916 sqft,15,0,11900000.0,150,2916.0,3
4,6,2025-02-19,4158-5598 sqft,27,0,20000000.0,142,4878.0,4
3,6,2025-02-19,2475 sqft,15,0,10700000.0,150,2475.0,3
2,6,2025-02-19,1503-3915 sqft,12,0,7014000.0,77,2709.0,2
4,6,2025-02-19,6750-7560 sqft,27,0,0.0,69,7155.0,4
2,6,2025-02-19,1325-4717 sqft,12,0,12200000.0,40,3021.0,2
0,13,2025-02-17,1090 sqft,41,0,4000000.0,115,1090.0,0
0,13,2025-02-05,3049 sqft,41,0,6300000.0,80,3049.0,0
0,13,2025-02-02,435 sqft,41,0,1100000.0,198,435.0,0
0,13,2025-02-02,2178 sqft,41,0,4000000.0,135,2178.0,0
0,13,2025-02-18,3950 sqft,41,0,13500000.0,199,3950.0,0
0,13,2025-02-18,2613 sqft,41,0,3600000.0,78,2613.0,0
0,13,2025-02-16,10000 sqft,41,0,53000000.0,96,10000.0,0
0,13,2025-02-15,5662 sqft,41,0,5460000.0,90,5662.0,0
0,13,2025-02-15,2178 sqft,41,0,3000000.0,199,2178.0,0
3,13,2025-02-12,3800 sqft,35,2,10000000.0,96,3800.0,5
0,4,2025-02-19,2874 sqft,44,0,1998000.0,185,2874.0,0
